_time,data_NO2,data_O3,data_pm10,data_pm25,data_sht_humid,data_sht_temp
2024-12-11 00:00:00+00:00,13.55,,10.04,9.13,87.95,3.68
2024-12-11 01:00:00+00:00,9.15,14.97,9.38,8.65,88.1,3.46
2024-12-11 02:00:00+00:00,9.72,15.81,10.23,9.4,87.79,3.53
2024-12-11 03:00:00+00:00,8.55,19.43,11.52,10.48,87.57,3.51
2024-12-11 04:00:00+00:00,9.4,21.5,12.47,11.42,87.64,3.41
2024-12-11 05:00:00+00:00,13.02,20.65,13.52,12.36,87.98,3.31
2024-12-11 06:00:00+00:00,15.56,19.77,14.06,12.66,87.96,3.2
2024-12-11 07:00:00+00:00,15.01,21.9,12.9,11.54,86.84,3.19
2024-12-11 08:00:00+00:00,11.97,23.62,10.96,9.32,85.12,3.25
2024-12-11 09:00:00+00:00,9.84,27.33,10.32,8.97,83.88,3.37
2024-12-11 10:00:00+00:00,10.04,31.43,10.11,8.68,82.78,3.47
2024-12-11 11:00:00+00:00,12.57,33.75,10.23,8.71,82.84,3.3
2024-12-11 12:00:00+00:00,13.45,35.5,10.04,8.41,83.04,3.08
2024-12-11 13:00:00+00:00,15.78,36.69,10.75,8.63,84.43,2.67
2024-12-11 14:00:00+00:00,17.3,37.81,11.9,9.11,85.53,2.52
2024-12-11 15:00:00+00:00,19.4,37.0,12.19,9.47,86.08,2.35
2024-12-11 16:00:00+00:00,18.41,37.21,12.07,10.1,86.49,2.29
2024-12-11 17:00:00+00:00,15.41,37.46,12.18,10.57,87.16,2.1
2024-12-11 18:00:00+00:00,15.54,32.43,12.2,10.76,88.23,1.97
2024-12-11 19:00:00+00:00,14.13,32.09,13.61,12.16,89.77,1.94
2024-12-11 20:00:00+00:00,15.43,27.03,13.52,12.18,92.54,1.85
2024-12-11 21:00:00+00:00,14.15,26.57,13.71,12.53,91.83,2.04
2024-12-11 22:00:00+00:00,10.7,31.65,13.07,12.03,90.58,2.15
2024-12-11 23:00:00+00:00,9.08,37.08,9.83,8.42,86.84,2.39
2024-12-12 00:00:00+00:00,9.42,35.85,9.22,8.68,86.14,2.5
2024-12-12 01:00:00+00:00,7.55,,10.09,9.47,86.79,2.46
2024-12-12 02:00:00+00:00,8.1,36.53,11.41,10.86,86.99,2.43
2024-12-12 03:00:00+00:00,9.63,33.83,11.48,11.03,86.91,2.43
2024-12-12 04:00:00+00:00,13.82,30.1,13.19,11.73,85.68,2.53
2024-12-12 05:00:00+00:00,20.81,24.09,13.44,12.19,85.01,2.6
2024-12-12 06:00:00+00:00,26.31,18.95,13.89,12.64,84.21,2.71
2024-12-12 07:00:00+00:00,27.78,17.15,15.34,13.26,84.47,2.72
2024-12-12 08:00:00+00:00,22.73,21.29,15.15,13.06,84.6,2.85
2024-12-12 09:00:00+00:00,21.05,22.74,14.68,12.53,83.64,3.04
2024-12-12 10:00:00+00:00,15.18,30.31,14.06,12.3,82.0,3.28
2024-12-12 11:00:00+00:00,14.51,31.11,14.05,11.5,81.11,3.47
2024-12-12 12:00:00+00:00,15.7,29.44,13.51,11.57,80.81,3.54
2024-12-12 13:00:00+00:00,18.63,27.02,13.07,11.54,80.62,3.54
2024-12-12 14:00:00+00:00,19.74,25.82,14.86,11.95,80.89,3.38
2024-12-12 15:00:00+00:00,23.52,22.74,16.58,12.27,80.91,3.18
2024-12-12 16:00:00+00:00,26.96,19.91,14.89,12.03,82.26,2.94
2024-12-12 17:00:00+00:00,20.83,26.26,14.24,11.67,79.72,2.97
2024-12-12 18:00:00+00:00,17.23,29.48,14.59,12.75,79.34,2.82
2024-12-12 19:00:00+00:00,16.25,31.05,14.19,12.67,78.89,2.56
2024-12-12 20:00:00+00:00,17.07,28.1,15.01,13.64,79.05,2.46
2024-12-12 21:00:00+00:00,17.06,26.83,15.62,13.75,79.66,2.4
2024-12-12 22:00:00+00:00,13.5,29.76,16.82,15.29,80.62,2.37
2024-12-12 23:00:00+00:00,12.87,27.94,16.58,15.34,81.37,2.34
