Zeitstempel,data_NO2,data_O3,data_pm10,data_pm25,data_sht_temp,RLF,p-Luft,Nsch,WIR,WIV
2024-11-14 00:01:00,24.445,3.691,23.545,22.218,4.951,92.67,1012,0,176.868,0.9
2024-11-14 00:02:00,25.083,4.988,23.543,22.193,4.951,92.65,1012,0,187.807,0.833
2024-11-14 00:03:00,26.23,5.22,23.473,22.15,4.95,92.61,1012,0,182.641,0.617
2024-11-14 00:04:00,25.848,5.886,23.327,22.083,4.95,92.597,1012,0.005,172.01,1.033
2024-11-14 00:05:00,25.402,3.757,23.048,22.015,4.95,92.57,1012,0,188.621,1.133
2024-11-14 00:06:00,24.541,4.988,22.763,21.947,4.95,92.547,1012,0,195.661,0.8
2024-11-14 00:07:00,25.37,4.29,22.58,21.897,4.95,92.5,1012,0,218.658,0.483
2024-11-14 00:08:00,25.975,4.423,22.68,21.93,4.95,92.483,1012,0,210.148,0.433
2024-11-14 00:09:00,25.529,4.156,23.41,22.04,4.95,92.45,1012,0,179.449,0.783
2024-11-14 00:10:00,25.434,3.791,24.9,22.185,4.95,92.44,1012,0,182.406,0.933
2024-11-14 00:11:00,23.936,6.584,26.5,22.4,4.951,92.42,1012,0,163.354,0.35
2024-11-14 00:12:00,23.044,5.486,27.405,22.6,4.954,92.41,1012,0,205.329,0.85
2024-11-14 00:13:00,24.286,5.586,27.855,22.76,4.961,92.39,1012,0,208.912,0.683
2024-11-14 00:14:00,24.637,5.42,27.698,22.85,4.966,92.377,1012,0,209.934,0.9
2024-11-14 00:15:00,24.413,5.287,26.672,22.878,4.976,92.35,1012,0,195.371,0.6
2024-11-14 00:16:00,24.191,5.686,25.468,22.828,4.982,92.337,1012,0,198.844,0.367
2024-11-14 00:17:00,23.362,5.653,24.725,22.717,4.993,92.31,1012,0,212.834,0.65
2024-11-14 00:18:00,23.904,6.484,24.165,22.51,4.998,92.3,1012,0,228.155,0.833
2024-11-14 00:19:00,24.127,6.185,23.71,22.232,5.007,92.28,1012,0,210.651,0.883
2024-11-14 00:20:00,24.191,6.218,23.55,21.995,5.01,92.26,1012,0,211.142,0.95
2024-11-14 00:21:00,23.872,5.819,23.488,21.717,5.015,92.22,1012,0,207.725,0.4
2024-11-14 00:22:00,23.553,5.553,23.448,21.48,5.016,92.203,1012,0,212.917,0.817
2024-11-14 00:23:00,23.776,5.952,23.393,21.315,5.018,92.17,1012,0,195.235,0.567
2024-11-14 00:24:00,23.075,5.719,23.483,21.235,5.018,92.15,1012,0,200.91,0.55
2024-11-14 00:25:00,23.298,5.553,23.693,21.298,5.018,92.11,1012,0,206.167,1.017
2024-11-14 00:26:00,22.884,7.083,23.567,21.39,5.018,92.09,1012,0,188.231,0.7
2024-11-14 00:27:00,23.808,6.55,23.19,21.445,5.018,92.05,1012,0,188.015,0.517
2024-11-14 00:28:00,23.904,6.717,23.075,21.52,5.019,92.033,1012,0,197.861,1.167
2024-11-14 00:29:00,23.234,6.783,23.24,21.605,5.022,92,1012,0,203.298,0.75
2024-11-14 00:30:00,23.33,6.318,23.075,21.625,5.022,91.99,1012,0,196.754,0.983
2024-11-14 00:31:00,21.609,7.448,22.885,21.6,5.022,91.97,1012,0,200.109,0.867
2024-11-14 00:32:00,20.781,6.118,23.053,21.653,5.018,91.95,1012,0,213.623,1.083
2024-11-14 00:33:00,22.948,7.282,23.315,21.807,5.01,91.91,1012,0,194.803,0.917
2024-11-14 00:34:00,23.044,7.814,23.703,21.925,5.005,91.893,1012,0,161.767,0.7
2024-11-14 00:35:00,23.202,6.717,24.533,21.963,4.995,91.86,1012,0,205.923,0.567
2024-11-14 00:36:00,21.927,7.348,24.933,21.97,4.994,91.85,1012,0,217.013,1.033
2024-11-14 00:37:00,22.023,6.617,25.228,21.932,4.992,91.83,1012,0,190.067,0.567
2024-11-14 00:38:00,22.087,6.384,25.93,21.838,4.992,91.82,1012,0,193.854,0.35
2024-11-14 00:39:00,21.768,8.014,26.052,21.75,4.992,91.8,1012,0,198.846,0.633
2024-11-14 00:40:00,22.756,7.482,25.038,21.605,4.994,91.8,1012,0,213.142,0.667
2024-11-14 00:41:00,23.936,7.781,24.38,21.487,4.998,91.8,1012,0,203.631,0.6
2024-11-14 00:42:00,23.075,7.083,24.308,21.475,5.003,91.803,1012,0,132.249,0.417
2024-11-14 00:43:00,21.641,5.553,23.707,21.458,5.013,91.81,1012,0,172.849,0.383
2024-11-14 00:44:00,21.163,5.819,23.285,21.425,5.019,91.827,1012,0,201.526,0.433
2024-11-14 00:45:00,22.342,5.52,23.662,21.537,5.03,91.86,1012,0,169.41,0.9
2024-11-14 00:46:00,23.075,5.287,24.19,21.7,5.031,91.877,1012,0,185.504,0.583
2024-11-14 00:47:00,22.087,4.821,24.29,21.775,5.034,91.91,1012,0,167.802,0.717
2024-11-14 00:48:00,21.227,3.159,24.005,21.735,5.034,91.937,1012,0,175.634,0.517
2024-11-14 00:49:00,21.099,3.492,23.555,21.63,5.034,91.99,1012,0,168.536,0.35
2024-11-14 00:50:00,21.386,2.461,23.17,21.455,5.034,92.023,1012,0,168.394,0.667
2024-11-14 00:51:00,21.131,3.425,23.04,21.245,5.034,92.09,1012,0,164.263,0.5
2024-11-14 00:52:00,22.119,4.057,22.99,21.12,5.031,92.113,1012,0,163.661,0.55
2024-11-14 00:53:00,21.8,4.057,22.753,20.993,5.017,92.23,1012,0,187.753,0.583
2024-11-14 00:54:00,21.641,3.891,22.788,20.967,5.014,92.255,1012,0,178.907,0.5
2024-11-14 00:55:00,21.8,4.489,22.875,21.023,5,92.38,1012,0,156.795,0.717
2024-11-14 00:56:00,21.513,3.957,22.617,21.078,4.997,92.407,1012,0,162.35,1
2024-11-14 00:57:00,22.31,3.691,22.692,21.15,4.98,92.54,1012,0,163.596,0.9
2024-11-14 00:58:00,22.437,3.458,23.247,21.312,4.974,92.562,1012,0,171.818,0.7
2024-11-14 00:59:00,22.055,4.755,23.45,21.42,4.946,92.67,1012,0,176.466,0.75
2024-11-14 01:00:00,22.501,6.949,23.5,21.475,4.941,92.688,1012,0,159.305,1.167
2024-11-14 01:01:00,22.597,6.484,23.587,21.528,4.914,92.78,1012,0,171.091,1.05
2024-11-14 01:02:00,21.673,6.185,23.862,21.535,4.911,92.795,1012,0,176.07,0.733
2024-11-14 01:03:00,21.259,8.146,24.118,21.518,4.898,92.87,1012,0,184.176,0.983
2024-11-14 01:04:00,21.003,8.545,24.327,21.542,4.896,92.875,1012,0,207.463,0.417
2024-11-14 01:05:00,20.876,7.415,24.637,21.588,4.886,92.9,1012,0,163.945,0.483
2024-11-14 01:06:00,19.888,7.049,24.87,21.635,4.887,92.898,1012,0,182.591,1.317
2024-11-14 01:07:00,19.697,8.579,25.075,21.64,4.891,92.89,1012,0,162.938,0.517
2024-11-14 01:08:00,20.43,8.479,25.655,21.675,4.894,92.887,1012,0,186.705,0.717
2024-11-14 01:09:00,20.621,8.346,26.335,21.725,4.908,92.87,1012,0,113.364,0.333
2024-11-14 01:10:00,20.047,7.714,26.41,21.685,4.911,92.858,1012,0,90,0
2024-11-14 01:11:00,20.558,7.881,26.16,21.62,4.923,92.8,1012,0,151.168,0.133
2024-11-14 01:12:00,21.577,7.648,26.008,21.655,4.928,92.792,1012,0,220.518,0.517
2024-11-14 01:13:00,21.386,7.814,25.568,21.702,4.951,92.75,1012,0,215.767,0.683
2024-11-14 01:14:00,21.641,7.415,24.883,21.658,4.953,92.742,1012,0,205.497,0.467
2024-11-14 01:15:00,21.545,7.88,24.675,21.653,4.963,92.7,1012,0,219.062,0.533
2024-11-14 01:16:00,21.259,7.515,24.968,21.643,4.966,92.693,1012,0,151.087,0.383
2024-11-14 01:17:00,20.78,7.082,24.805,21.53,4.98,92.66,1012,0,212.773,0.633
2024-11-14 01:18:00,20.175,5.054,24.587,21.393,4.983,92.658,1012,0,169.847,0.917
2024-11-14 01:19:00,20.111,5.121,24.703,21.245,4.995,92.65,1012,0,181.29,0.583
2024-11-14 01:20:00,20.685,8.579,24.69,21.147,4.996,92.652,1012,0,170.322,0.467
